"Files	Form	Card	User",,,,
B0067,W34 5:5,37318:14464,395,3731814464
B0073,W34 5:5,37318:10880,173,3731810880
B0075,W34 5:5,37318:10880,393,3731810880
B0076,W34 5:5,37318:11392,1209,3731811392
B0077,W34 5:5,37318:10880,1387,3731810880
B0078,W34 5:5,37318:10880,1221,3731810880
B0081,W34 5:5,37318:14464,1167,3731814464
B0082,W34 5:5,37318:14848,1171,3731814848
B0083,W34 5:5,37318:14848,389,3731814848
B0091,W34 5:5,37318:14464,81,3731814464
B0093,W34 5:5,37318:14464,399,3731814464
B0100,W34 5:5,37318:11392,165,3731811392
B0107,W34 5:5,37318:14464,1203,3731814464
B0108,W34 5:5,37318:15744,1197,3731815744
B0109,W34 5:5,37318:15744,293,3731815744
B0111,W34 5:5,37318:16896,867,3731816896
B0113,W34 5:5,37318:16896,875,3731816896
B0129,W34 5:5,37318:02816,1185,3731802816
B0131,W34 5:5,37318:02816,1219,3731802816
B0134,W34 5:5,37318:03456,287,3731803456
B0136,W34 5:5,37318:03456,895,3731803456
B0141,W34 5:5,37318:05120,1169,3731805120
B0143,W34 5:5,37318:05120,889,3731805120
B0196,W34 5:5,37317:59136,707,3731759136
B0204,W34 5:5,37317:59136,1177,3731759136
B0249,W34 5:5,37318:05504,893,3731805504
B0250,W34 5:5,37318:05504,1173,3731805504
B0252,W34 5:5,37317:49408,627,3731749408
B0253,W34 5:5,37317:49408,1215,3731749408
B0254,W34 5:5,37317:49408,853,3731749408
B0745,W34 5:5,37316:55552,1905,3731655552
B0769,W34 5:5,37316:50944,1707,3731650944
B0776,W34 5:5,37316:55552,723,3731655552
B0777,W34 5:5,37316:55552,719,3731655552
B0779,W34 5:5,37316:55552,949,3731655552
B0781,W34 5:5,37316:50944,1463,3731650944
B0785,W34 5:5,37317:29440,2233,3731729440
B0788,W34 5:5,37317:29440,235,3731729440
B0789,W34 5:5,37317:29440,241,3731729440
B0794,W34 5:5,37316:50944,533,3731650944
B0796,W34 5:5,37316:50944,529,3731650944
B0800,W34 5:5,37316:50944,521,3731650944
B0816,W34 5:5,37317:07936,1681,3731707936
B0821,W34 5:5,37317:07936,1691,3731707936
B0822,W34 5:5,37317:07936,1693,3731707936
B0823,W34 5:5,37317:07936,1695,3731707936
B0825,W34 5:5,37317:07936,513,3731707936
B0829,W34 5:5,37317:07936,505,3731707936
B0831,W34 5:5,37316:50944,509,3731650944
B0838,W34 5:5,37317:14464,253,3731714464
B0839,W34 5:5,37317:14464,211,3731714464
B0842,W34 5:5,37316:52992,1733,3731652992
B0844,W34 5:5,37316:52992,725,3731652992
B0864,W34 5:5,37316:48000,2083,3731648000
B0872,W34 5:5,37316:48000,2069,3731648000
B0873,W34 5:5,37316:48000,2095,3731648000
B0874,W34 5:5,12955:25701,2093,1295525701
B0880,W34 5:5,12955:25701,2077,1295525701
B0881,W34 5:5,37316:46848,2079,3731646848
B0882,W34 5:5,37316:46848,20781,3731646848
B0883,W34 5:5,37316:46976,2081,3731646976
B0889,W34 5:5,37316:46976,1300,3731646976
B0892,W34 5:5,37316:46976,961,3731646976
B0893,W34 5:5,37316:48000,957,3731648000
B0904,W34 5:5,37316:46976,2041,3731646976
B0905,W34 5:5,37316:46976,2039,3731646976
B0907,W34 5:5,37316:46976,2377,3731646976
B0909,W34 5:5,37316:46976,2023,3731646976
B0914,W34 5:5,37316:46976,2035,3731646976
B0919,W34 5:5,37316:46976,2029,3731646976
B0925,W34 5:5,37316:40704,2379,3731640704
B0927,W34 5:5,37316:46976,2371,3731646976
B0930,W34 5:5,37316:46976,2387,3731646976
B0931,W34 5:5,37316:40704,2383,3731640704
B0932,W34 5:5,37316:40704,2403,3731640704
B0933,W34 5:5,37316:40704,2405,3731640704
B0934,W34 5:5,37316:40704,2407,3731640704
B0936,W34 5:5,37316:40704,2393,3731640704
B0938,W34 5:5,37316:40704,2399,3731640704
B0941,W34 5:5,37316:40704,2413,3731640704
B0942,W34 5:5,37316:40704,2415,3731640704
B0943,W34 5:5,37316:46976,2417,3731646976
B0946,W34 5:5,37316:40704,2433,3731640704
B0949,W34 5:5,37316:40704,2457,3731640704
B0950,W34 5:5,37316:35712,2455,3731635712
B0952,W34 5:5,37316:35712,2453,3731635712
B0956,W34 5:5,37316:35712,2439,3731635712
B0957,W34 5:5,37316:46976,2441,3731646976
B0959,W34 5:5,37316:35712,2437,3731635712
B0960,W34 5:5,37316:46976,2423,3731646976
B0961,W34 5:5,37316:35712,2425,3731635712
B0962,W34 5:5,37316:35712,2427,3731635712
B0984,W34 5:5,37316:35712,1307,3731635712
